quarter,y,g,newsy,unemp,hpunemp_split,tbill
1937.50,.8287786,.1111606,0,12.94,4.3249649,0.29
1937.75,.7647406,.1029004,0,15.12,4.3177126,0.13
1938.00,.7287005,.1084494,0,18.39,4.3104603,0.09
1938.25,.7355069,.1152783,.0006658,19.82,4.303208,0.06
1938.50,.7725233,.130868,0,19.20,4.2959556,0.07
1938.75,.7961892,.1380185,0,17.37,4.2887033,0.04
1939.00,.7803794,.133193,.0042936,17.75,4.281451,0.03
1939.25,.782405,.1316487,0,17.28,4.2741987,0.03
1939.50,.7990399,.1237542,.0059877,16.06,4.2669464,0.08
1939.75,.7963305,.1251926,0,15.44,4.259694,0.05
1940.00,.8188247,.1245602,0,15.06,4.2524417,0.02
1940.25,.8155475,.1199188,.2597567,14.25,4.2451894,0.06
1940.50,.8331106,.1193437,0,13.33,4.2379371,0.05
1940.75,.8450146,.1378714,.0392335,13.36,4.2306848,0.02
1941.00,.8857133,.1619577,.0550729,11.26,4.2234325,0.06
1941.25,.9345203,.179033,.3401304,10.50,4.2161801,0.11
1941.50,.9503495,.2089916,0,8.88,4.2089278,0.12
1941.75,.9865494,.2547386,.6918932,7.11,4.2016755,0.23
1942.00,.9862345,.2918319,0,6.53,4.1944232,0.26
1942.25,1.046696,.3851787,.194383,5.01,4.1871709,0.35
1942.50,1.100626,.479237,.4327912,3.76,4.1799185,0.38
1942.75,1.170027,.5340767,0,3.10,4.1726662,0.38
1943.00,1.184697,.576332,.1444463,2.31,4.1654139,0.38
1943.25,1.201401,.5820495,0,2.01,4.1581616,0.38
1943.50,1.22188,.5843594,0,1.96,4.1509093,0.38
1943.75,1.24769,.6020685,0,1.52,4.1436569,0.38
1944.00,1.259735,.6162796,0,1.31,4.1364046,0.38
1944.25,1.260398,.6142569,-.1964322,1.39,4.1291523,0.38
1944.50,1.265319,.6075316,0,1.27,4.1219,0.38
1944.75,1.267626,.6082093,.1078565,0.94,4.1146477,0.38
1945.00,1.282426,.6030035,0,1.02,4.1073954,0.38
1945.25,1.275682,.5957829,0,1.11,4.100143,0.38
1945.50,1.184585,.4977249,-.2194998,2.07,4.0928907,0.38
1945.75,1.08185,.3538025,0,3.53,4.0856384,0.38
1946.00,1.056368,.235343,0,4.00,4.0783861,0.38
1946.25,1.064043,.1988114,0,4.03,4.0711338,0.38
1946.50,1.014024,.1773607,.0176872,3.73,4.0638814,0.38
1946.75,.9734686,.1737127,0,4.03,4.0566291,0.38
1947.00,.9894559,.1632206,0,3.77,4.0473122,0.38
1947.25,.9791259,.1602246,.0317486,4.06,4.0643871,0.38
1947.50,.9689999,.1541976,0,4.05,4.0814618,0.74
1947.75,.9750884,.1498393,0,3.71,4.0985358,0.91
1948.00,.9801883,.1517187,.0067428,3.70,4.115609,0.99
1948.25,.9868641,.1558611,.0128887,3.70,4.1326807,1.00
1948.50,.9831256,.1575792,0,3.80,4.1497497,1.05
1948.75,.9749632,.1625821,0,3.80,4.1668145,1.14
1949.00,.9526765,.1688304,0,4.70,4.1838733,1.17
1949.25,.9406397,.1751872,0,5.90,4.2009237,1.17
1949.50,.9421115,.1744523,0,6.70,4.217964,1.04
1949.75,.9249702,.171003,-.0068953,7.00,4.2349942,1.08
1950.00,.9528624,.1667096,0,6.40,4.2520167,1.10
1950.25,.9725004,.16691,.0260907,5.60,4.2690368,1.15
